2014-03-14 09:13:00  INFO | stdout: creating system views ... ok
2014-03-14 09:13:00  INFO | stdout: loading system objects' descriptions ... ok
2014-03-14 09:13:00  INFO | stdout: creating collations ... ok
2014-03-14 09:13:00  INFO | stdout: creating conversions ... ok
2014-03-14 09:13:00  INFO | stdout: creating dictionaries ... ok
2014-03-14 09:13:00  INFO | stdout: setting privileges on built-in objects ... ok
2014-03-14 09:13:00  INFO | stdout: creating information schema ... ok
2014-03-14 09:13:00  INFO | stdout: loading PL/pgSQL server-side language ... ok
2014-03-14 09:13:00  INFO | stdout: vacuuming database template1 ... ok
2014-03-14 09:13:00  INFO | stdout: copying template1 to template0 ... ok
2014-03-14 09:13:00  INFO | stdout: copying template1 to postgres ... ok
2014-03-14 09:13:00  INFO | stdout: 
2014-03-14 09:13:00  INFO | stdout: Success. You can now start the database server using:
2014-03-14 09:13:00  INFO | stdout: 
2014-03-14 09:13:00  INFO | stdout:     /usr/pgsql-9.1//bin/postgres -D /var/lib/eucalyptus/db/data
2014-03-14 09:13:00  INFO | stdout: or
2014-03-14 09:13:00  INFO | stdout:     /usr/pgsql-9.1//bin/pg_ctl -D /var/lib/eucalyptus/db/data -l logfile start
2014-03-14 09:13:00  INFO | stdout: 
2014-03-14 09:13:02  INFO | :1394813582191:PEMFiles:bootstrap:CERTIFICATE_WRITE:/var/lib/eucalyptus/db/data/server.crt
2014-03-14 09:13:02  INFO | :1394813582198:PEMFiles:bootstrap:CERTIFICATE_WRITE:/var/lib/eucalyptus/db/data/server.key
2014-03-14 09:13:02  INFO | Postgres command : '/usr/pgsql-9.1//bin/pg_ctl' 'status' '-D//var/lib/eucalyptus/db/data'
2014-03-14 09:13:02  INFO | stdout: pg_ctl: no server running
2014-03-14 09:13:02  INFO | Postgres command : '/usr/pgsql-9.1//bin/pg_ctl' 'start' '-w' '-s' '-D//var/lib/eucalyptus/db/data' '-o -h0.0.0.0/0 -p8777 -i'
2014-03-14 09:13:03  INFO | Postgres command : '/usr/pgsql-9.1//bin/pg_ctl' 'status' '-D//var/lib/eucalyptus/db/data'
2014-03-14 09:13:03  INFO | stdout: pg_ctl: server is running (PID: 18099)
2014-03-14 09:13:03  INFO | stdout: /usr/pgsql-9.1/bin/postgres "-D" "/var/lib/eucalyptus/db/data" "-h0.0.0.0/0" "-p8777" "-i"
2014-03-14 09:13:03  INFO | :1394813583295:Bootstrap:bootstrap:COMPONENT_REGISTERED:Component db=available service=not-local
                          | :1394813583295:Bootstrap::bootstrap:COMPONENT_REGISTERED:
2014-03-14 09:13:10  INFO | Postgres command : '/usr/pgsql-9.1//bin/pg_ctl' 'status' '-D//var/lib/eucalyptus/db/data'
2014-03-14 09:13:10  INFO | stdout: pg_ctl: server is running (PID: 18099)
2014-03-14 09:13:10  INFO | stdout: /usr/pgsql-9.1/bin/postgres "-D" "/var/lib/eucalyptus/db/data" "-h0.0.0.0/0" "-p8777" "-i"
2014-03-14 09:13:11  INFO | :1394813591085:Component:bootstrap:COMPONENT_SERVICE_REGISTERED:db:local:ServiceConfiguration db arn:euca:eucalyptus:db:10.111.1.42/ 10.111.1.42:8777:/eucalyptus:vm-local:host-local:INITIALIZED
